Mes/Ano;Ferrovia;TU;TKU
12/2008;FNSTN;6098;4287786
12/2008;FTC;276133;19276564
12/2008;FTL;146736;77169510
12/2008;MRS;7872869;3656620912
12/2008;RMN;889210;1217245986
12/2008;RMO;223875;111680937
12/2008;RMP;402941;232215607
12/2008;RMS;1866540;1219222831
01/2009;EFC;7804757;6785729589
01/2009;EFPO;79394;58018323
01/2009;EFVM;7539375;4242788411
01/2009;FCA;1393066;1067734566
01/2009;FTC;290598;20216844
01/2009;FTL;142639;74729297
01/2009;MRS;6753849;3122621847
01/2009;RMN;605821;833251852
01/2009;RMO;112101;63172816
01/2009;RMP;422589;229544142
01/2009;RMS;1757107;1201849405
02/2009;EFC;6846313;5957166071
02/2009;EFPO;120265;88948082
02/2009;EFVM;6790630;3813561044
02/2009;FCA;1278789;1091189973
02/2009;FTC;266962;18685280
02/2009;FTL;120923;47501319
02/2009;MRS;6463127;2985415224
02/2009;RMN;733947;1004955682
02/2009;RMO;176793;48721115
02/2009;RMP;261066;141395183
02/2009;RMS;1682847;1116555157
03/2009;EFC;7625982;6725076171
03/2009;EFPO;82199;64562195
03/2009;EFVM;7558601;4189244678
03/2009;FCA;1386629;1203351557
03/2009;FNSTN;169101;122260023
03/2009;FTC;297410;21081122
03/2009;FTL;117714;48203099
03/2009;MRS;8734261;4114204149
03/2009;RMN;937462;1301241425
03/2009;RMO;173015;55479331
03/2009;RMP;277956;148684602
03/2009;RMS;2364848;1469583918
04/2009;EFC;7549873;6645798594
04/2009;EFPO;50151;39331953
04/2009;EFVM;7101748;3927907344
04/2009;FCA;1427845;1271320427
04/2009;FNSTN;277329;200508867
04/2009;FTC;264960;19209180
04/2009;FTL;111309;46298265
04/2009;MRS;8761286;4128743507
04/2009;RMN;977068;1355882601
04/2009;RMO;167439;68560359
04/2009;RMP;265387;148572662
04/2009;RMS;2513992;1596018590
05/2009;EFC;6851933;6012499067
05/2009;EFPO;47343;31818672
05/2009;EFVM;8104006;4509795068
05/2009;FCA;1514764;1345615732
05/2009;FNSTN;253771;183476433
05/2009;FTC;254947;18414952
05/2009;FTL;82166;40864259
05/2009;MRS;7928201;3676043840
05/2009;RMN;928624;1284350443
05/2009;RMO;168123;83238690
05/2009;RMP;342350;205757042
05/2009;RMS;2722185;1745983520
06/2009;EFC;8469309;7461918891
06/2009;EFPO;44133;28104340
06/2009;EFVM;8597322;4744932367
06/2009;FCA;1574647;1322809621
06/2009;FNSTN;310206;224278938
06/2009;FTC;227417;16598904
06/2009;FTL;122433;68537452
06/2009;MRS;8750410;4072082168
06/2009;RMN;895174;1232614302
06/2009;RMO;256592;99273584
06/2009;RMP;396226;226732367
06/2009;RMS;2572849;1697775268
07/2009;EFC;8498001;7456018152
07/2009;EFPO;78957;43784773
07/2009;EFVM;9522799;5231484090
07/2009;FCA;1737519;1416060163
07/2009;FNSTN;306947;222298428
07/2009;FTC;228894;15371420
07/2009;FTL;118954;58511818
07/2009;MRS;9946277;4539890192
07/2009;RMN;873460;1199882850
07/2009;RMO;220259;120662740
07/2009;RMP;570824;425873498
07/2009;RMS;2505809;1657809024
08/2009;EFC;8532598;7453914153
08/2009;EFPO;49581;41816587
08/2009;EFVM;10465692;5897300193
08/2009;FCA;1570464;1294630226
08/2009;FNSTN;129940;93946620
08/2009;FTC;212345;14595855
08/2009;FTL;113471;54948538
08/2009;MRS;10380840;4769490670
08/2009;RMN;874085;1202682340
08/2009;RMO;235368;161599062
08/2009;RMP;476671;310838749
08/2009;RMS;2464801;1667206593
09/2009;EFC;8653325;7458649445
09/2009;EFPO;24062;20835722
09/2009;EFVM;10485269;5840058729
09/2009;FCA;1342267;1021386544
09/2009;FNSTN;49024;35434416
09/2009;FTC;190815;13459717
09/2009;FTL;106693;65805898
09/2009;MRS;11557877;5346270698
09/2009;RMN;994340;1374640552
09/2009;RMO;291292;156608375
09/2009;RMP;443398;279783336
09/2009;RMS;2098598;1467789187
10/2009;EFC;8163295;6996725228
10/2009;EFPO;11754;9751704
10/2009;EFVM;9027981;4966127117
10/2009;FCA;1559179;1256862065
10/2009;FNSTN;48474;31271506
10/2009;FTC;197926;13693998
10/2009;FTL;146304;83194578
